Processo 1 criado com tamanho 11
Processo 1 alocado na posição 0
Processo 1 alocado na posição 11
Processo 1 alocado na posição 22
Processo 1 alocado na posição 33
Processo 1 alocado na posição 44
Processo 1 alocado na posição 55
Processo 1 alocado na posição 66
Processo 1 alocado na posição 77
Processo 1 alocado na posição 88
Processo 1 alocado na posição 99
Processo 1 alocado na posição 110
Processo 1 alocado na posição 121
Processo 1 alocado na posição 132
Processo 1 alocado na posição 143
Processo 1 alocado na posição 154
Processo 1 alocado na posição 165
Processo 1 alocado na posição 176
Processo 1 alocado na posição 187
Processo 1 alocado na posição 198
Processo 1 alocado na posição 209
Processo 1 alocado na posição 220
Processo 1 alocado na posição 231
Processo 1 alocado na posição 242
Processo 1 alocado na posição 253
Processo 1 alocado na posição 264
Processo 1 alocado na posição 275
Processo 1 alocado na posição 286
Processo 1 alocado na posição 297
Processo 1 alocado na posição 308
Processo 1 alocado na posição 319
Processo 1 alocado na posição 330
Processo 1 alocado na posição 341
Processo 1 alocado na posição 352
Processo 1 alocado na posição 363
Processo 1 alocado na posição 374
Processo 1 alocado na posição 385
Processo 1 alocado na posição 396
Processo 1 alocado na posição 407
Processo 1 alocado na posição 418
Processo 1 alocado na posição 429
Processo 1 alocado na posição 440
Processo 1 alocado na posição 451
Processo 1 alocado na posição 462
Processo 1 alocado na posição 473
Processo 1 alocado na posição 484
Processo 1 alocado na posição 495
Processo 1 alocado na posição 506
Processo 1 alocado na posição 517
Processo 1 alocado na posição 528
Processo 1 alocado na posição 539
Processo 1 alocado na posição 550
Processo 1 alocado na posição 561
Processo 1 alocado na posição 572
Processo 1 alocado na posição 583
Processo 1 alocado na posição 594
Processo 1 alocado na posição 605
Processo 1 alocado na posição 616
Processo 1 alocado na posição 627
Processo 1 alocado na posição 638
Processo 1 alocado na posição 649
Processo 1 alocado na posição 660
Processo 1 alocado na posição 671
Processo 1 alocado na posição 682
Processo 1 alocado na posição 693
Processo 1 alocado na posição 704
Processo 1 alocado na posição 715
Processo 1 alocado na posição 726
Processo 1 alocado na posição 737
Processo 1 alocado na posição 748
Processo 1 alocado na posição 759
Processo 1 alocado na posição 770
Processo 1 alocado na posição 781
Processo 1 alocado na posição 792
Processo 1 alocado na posição 803
Processo 1 alocado na posição 814
Processo 1 alocado na posição 825
Processo 1 alocado na posição 836
Processo 1 alocado na posição 847
Processo 1 alocado na posição 858
Processo 1 alocado na posição 869
Processo 1 alocado na posição 880
Processo 1 alocado na posição 891
Processo 1 alocado na posição 902
Processo 1 alocado na posição 913
Processo 1 alocado na posição 924
Processo 1 alocado na posição 935
Processo 1 alocado na posição 946
Processo 1 alocado na posição 957
Processo 1 alocado na posição 968
Processo 1 alocado na posição 979
Processo 1 alocado na posição 990
Processo 1 alocado na posição 1001
Processo 1 alocado na posição 1012
Processo 1 alocado na posição 1023
Processo 1 alocado na posição 1034
Processo 1 alocado na posição 1045
Processo 1 alocado na posição 1056
Processo 1 alocado na posição 1067
Processo 1 alocado na posição 1078
Processo 1 alocado na posição 1089
Processo 1 alocado na posição 1100
Processo 1 alocado na posição 1111
Processo 1 alocado na posição 1122
Processo 1 alocado na posição 1133
Processo 1 alocado na posição 1144
Processo 1 alocado na posição 1155
Processo 1 alocado na posição 1166
Processo 1 alocado na posição 1177
Processo 1 alocado na posição 1188
Processo 1 alocado na posição 1199
Processo 1 alocado na posição 1210
Processo 1 alocado na posição 1221
Processo 1 alocado naProcesso 12 criado com tamanho 2
Processo 12 alocado na posição 0
Processo 12 alocado na posição 2
Processo 12 alocado na posição 4
Processo 12 alocado na posição 6
Processo 12 alocado na posição 8
Processo 12 alocado na posição 10
Processo 12 alocado na posição 12
Processo 12 alocado na posição 14
Processo 12 alocado na posição 16
Processo 12 alocado na posição 18
Processo 12 alocado na posição 20
Processo 12 alocado na posição 22
Processo 12 alocado na posição 24
Processo 12 alocado na posição 26
Processo 12 alocado na posição 28
Processo 12 alocado na posição 30
Processo 12 alocado na posição 32
Processo 12 alocado na posição 34
Processo 12 alocado na posição 36
Processo 12 alocado na posição 38
Processo 12 alocado na posição 40
Processo 12 alocado na posição 42
Processo 12 alocado na posição 44
Processo 12 alocado na posição 46
Processo 12 alocado na posição 48
Processo 12 alocado na posição 50
Processo 12 alocado na posição 52
Processo 12 alocado na posição 54
Processo 12 alocado na posição 56
Processo 12 alocado na posição 58
Processo 12 alocado na posição 60
Processo 12 alocado na posição 62
Processo 12 alocado na posição 64
Processo 12 alocado na posição 66
Processo 12 alocado na posição 68
Processo 12 alocado na posição 70
Processo 12 alocado na posição 72
Processo 12 alocado na posição 74
Processo 12 alocado na posição 76
Processo 12 alocado na posição 78
Processo 12 alocado na posição 80
Processo 12 alocado na posição 82
Processo 12 alocado na posição 84
Processo 12 alocado na posição 86
Processo 12 alocado na posição 88
Processo 12 alocado na posição 90
Processo 12 alocado na posição 92
Processo 12 alocado na posição 94
Processo 12 alocado na posição 96
Processo 12 alocado na posição 98
Processo 12 alocado na posição 100
Processo 12 alocado na posição 102
Processo 12 alocado na posição 104
Processo 12 alocado na posição 106
Processo 12 alocado na posição 108
Processo 12 alocado na posição 110
Processo 12 alocado na posição 112
Processo 12 alocado na posição 114
Processo 12 alocado na posição 116
Processo 12 alocado na posição 118
Processo 12 alocado na posição 120
Processo 12 alocado na posição 122
Processo 12 alocado na posição 124
Processo 12 alocado na posição 126
Processo 12 alocado na posição 128
Processo 12 alocado na posição 130
Processo 12 alocado na posição 132
Processo 12 alocado na posição 134
Processo 12 alocado na posição 136
Processo 12 alocado na posição 138
Processo 12 alocado na posição 140
Processo 12 alocado na posição 142
Processo 12 alocado na posição 144
Processo 12 alocado na posição 146
Processo 12 alocado na posição 148
Processo 12 alocado na posição 150
Processo 12 alocado na posição 152
Processo 12 alocado na posição 154
Processo 12 alocado na posição 156
Processo 12 alocado na posição 158
Processo 12 alocado na posição 160
Processo 12 alocado na posição 162
Processo 12 alocado na posição 164
Processo 12 alocado na posição 166
Processo 12 alocado na posição 168
Processo 12 alocado na posição 170
Processo 12 alocado na posição 172
Processo 12 alocado na posição 174
Processo 12 alocado na posição 176
Processo 12 alocado na posição 178
Processo 12 alocado na posição 180
Processo 12 alocado na posição 182
Processo 12 alocado na posição 184
Processo 12 alocado na posição 186
Processo 12 alocado na posição 188
Processo 12 alocado na posição 190
Processo 12 alocado na posição 192
Processo 12 alocado na posição 194
Processo 12 alocado na posição 196
Processo 12 alocado na posição 198
Processo 12 alocado na posição 200
Processo 12 alocado na posição 202
Processo 12 alocado na posição 204
Processo 12 alocado na posição 206
Processo 12 alocado na posição 208
Processo 12 alocado na posição 210
Processo 12 alocado na posição 212
Processo 12 alocado na posição 214
Processo 12 alocado na posição 216
Processo 12 alocado na posição 218
Processo 12 alocado na posição 220
Processo 12 alocado na posição 222
Processo 12 alocado na posição 224
Processo 12 alocado na posição 226
Processo 12 alocado na posição 228
Processo 12 alocado na posição 230
Processo 12 alocado na posição 232
Processo 12 alocado na posição 234
Processo 12 alocado na posição 236
Processo 12 alocado na posição 238
Processo 12 alocado na posição 240
Processo 12 alocado na posição 242
Processo 12 alocado na posição 244
Processo 12 alocado na posição 246
Processo 12 alocado na posição 248
Processo 12 alocado na posição 250
Processo 12 alocado na posição 252
Processo 12 alocado na posição 254
Processo 12 alocado na posição 256
Processo 12 alocado na posição 258
Processo 12 alocado na posição 260
Processo 12 alocado na posição 262
Processo 12 alocado na posição 264
Processo 12 alocado na posição 266
Processo 12 alocado na posição 268
Processo 12 alocado na posição 270
Processo 12 alocado na posição 272
Processo 12 alocado na posição 274
Processo 12 alocado na posição 276
Processo 12 alocado na posição 278
Processo 12 alocado na posição 280
Processo 12 alocado na posição 282
Processo 12 alocado na posição 284
Processo 12 alocado na posição 286
Processo 12 alocado na posição 288
Processo 12 alocado na posição 290
Processo 12 alocado na posição 292
Processo 12 alocado na posição 294
Processo 12 alocado na posição 296
Processo 12 alocado na posição 298
Processo 12 alocado na posição 300
Processo 12 alocado na posição 302
Processo 12 alocado na posição 304
Processo 12 alocado na posição 306
Processo 12 alocado na posição 308
Processo 12 alocado na posição 310
Processo 12 alocado na posição 312
Processo 12 alocado na posição 314
Processo 12 alocado na posição 316
Processo 12 alocado na posição 318
Processo 12 alocado na posição 320
Processo 12 alocado na posição 322
Processo 12 alocado na posição 324
Processo 12 alocado na posição 326
Processo 12 alocado na posição 328
Processo 12 alocado na posição 330
Processo 12 alocado na posição 332
Processo 12 alocado na posição 334
Processo 12 alocado na posição 336
Processo 12 alocado na posição 338
Processo 12 alocado na posição 340
Processo 12 alocado na posição 342
Processo 12 alocado na posição 344
Processo 12 alocado na posição 346
Processo 12 alocado na posição 348
Processo 12 alocado na posição 350
Processo 12 alocado na posição 352
Processo 12 alocado na posição 354
Processo 12 alocado na posição 356
Processo 12 alocado na posição 358
Processo 12 alocado na posição 360
Processo 12 alocado na posição 362
Processo 12 alocado na posição 364
Processo 12 alocado na posição 366
Processo 12 alocado na posição 368
Processo 12 alocado na posição 370
Processo 12 alocado na posição 372
Processo 12 alocado na posição 374
Processo 12 alocado na posição 376
Processo 12 alocado na posição 378
Processo 12 alocado na posição 380
Processo 12 alocado na posição 382
Processo 12 alocado na posição 384
Processo 12 alocado na posição 386
Processo 12 alocado na posição 388
Processo 12 alocado na posição 390
Processo 12 alocado na posição 392
Processo 12 alocado na posição 394
Processo 12 alocado na posição 396
Processo 12 alocado na posição 398
Processo 12 alocado na posição 400
Processo 12 alocado na posição 402
Processo 12 alocado na posição 404
Processo 12 alocado na posição 406
Processo 12 alocado na posição 408
Processo 12 alocado na posição 410
Processo 12 alocado na posição 412
Processo 12 alocado na posição 414
Processo 12 alocado na posição 416
Processo 12 alocado na posição 418
Processo 12 alocado na posição 420
Processo 12 alocado na posição 422
Processo 12 alocado na posição 424
Processo 12 alocado na posição 426
Processo 12 alocado na posição 428
Processo 12 alocado na posição 430
Processo 12 alocado na posição 432
Processo 12 alocado na posição 434
Processo 12 alocado na posição 436
Processo 12 alocado na posição 438
Processo 12 alocado na posição 440
Processo 12 alocado na posição 442
